
                time        total_energy      kinetic_energy    potential_energy          temprature
       25.1729380000     -969.5628425154     2037.1865161720    -3007.3869600347     -969.5628425154
       25.3143590000     -975.8409883309     2030.1731312085    -3007.4269424372     -975.8409883309
       25.4557800000     -964.8303837542     2060.9256744739    -3006.8231520667     -964.8303837542
       25.5972010000     -932.2110022598     2071.1755937518    -3004.9622652098     -932.2110022598
       25.7386220000     -974.2938776217     1971.4170814343    -3004.0719393316     -974.2938776217
       25.8800430000    -1099.8936807471     1839.4901286216    -2988.9604764707    -1099.8936807471
       26.0214640000    -1146.3990859087     1860.4446298241    -2983.8094230184    -1146.3990859087
       26.1628850000    -1065.8303424173     1989.7617741314    -2988.7435404115    -1065.8303424173
       26.3043060000     -934.4733210041     2110.9347736215    -2990.0843390711     -934.4733210041
       26.4457270000     -841.6843810241     2177.3963567589    -2990.8821880113     -841.6843810241
       26.5871480000     -798.0866434562     2203.4556652956    -2991.2752552717     -798.0866434562
       26.7285690000     -785.5047144813     2204.3910141939    -2991.4154882407     -785.5047144813
       26.8699900000     -797.2023520057     2179.1299195945    -2991.2902648793     -797.2023520057
       27.0114110000     -840.3368534191     2114.6433783562    -2990.7653686248     -840.3368534191
       27.1528320000     -934.1513531245     1985.8808043594    -2989.5829212816     -934.1513531245
       27.2942530000    -1100.7868616882     1783.5082682961    -2989.3604301806    -1100.7868616882
       27.4356740000    -1305.3971840111     1595.6621340780    -2987.5361291790    -1305.3971840111
       27.5770950000    -1425.9485039658     1572.6335152869    -2989.3710572813    -1425.9485039658
       27.7185160000    -1316.3814036933     1831.3451937132    -3001.0014077048    -1316.3814036933
       27.8599370000     -963.8775672537     2234.7831480558    -3005.1920756754     -963.8775672537
       28.0013580000     -642.5472504726     2441.6897566908    -3007.4424244962     -642.5472504726
       28.1427790000     -583.6797077804     2367.1592882745    -3006.8528291337     -583.6797077804
       28.2842000000     -745.1837158490     2148.1664814299    -3004.7782117716     -745.1837158490
       28.4256210000     -957.3613887559     1965.0296256126    -3003.0362144702     -957.3613887559
       28.5670420000    -1069.0647957028     1931.7932013810    -3002.7939344331    -1069.0647957028
       28.7084630000    -1013.0919478656     2073.9626908783    -3000.4524337492    -1013.0919478656
       28.8498840000     -805.6366021809     2320.2021858005    -3003.0672922314     -805.6366021809
       28.9913050000     -575.9805085849     2511.5005864132    -3005.1586939764     -575.9805085849
       29.1327260000     -477.9332503002     2502.4766329223    -3005.2417860673     -477.9332503002
       29.2741470000     -603.3029899790     2278.4958361151    -3004.7901767476     -603.3029899790
       29.4155680000     -863.3952723727     2021.7164370530    -3002.3139843677     -863.3952723727
       29.5569890000    -1026.3347422937     1977.3537547992    -2999.5174631139    -1026.3347422937
       29.6984100000     -934.8083947528     2176.7891538932    -3001.6402686176     -934.8083947528
       29.8398310000     -710.7035394829     2385.3265038977    -3003.8910763863     -710.7035394829
       29.9812520000     -584.8768930942     2422.0548148374    -3004.4224852363     -584.8768930942
       30.1226730000     -624.6190508504     2326.6571073358    -3003.6093123683     -624.6190508504
       30.2640940000     -732.0163920816     2223.0623501160    -3002.6971532763     -732.0163920816
       30.4055150000     -811.0682117692     2167.6612239653    -3002.2634610252     -811.0682117692
